CS_number,name,country,latitude,longitude,collector,seq_by,Experiment,N_source,N_concentration,N_treatment,Leaf_Area,Total_roots,PR_length,Number_of_LR,Total_LR,LR_density,LR_length,LR_to_total_roots,LR_to_PR,X2MSO,X3OHP,X4OHB,X3MSO,OH_3_Butenyl,X4MSO,Allyl,X5MSO,Branches,X3_Butenyl,X6MSO,X3MT,X7MSO,X4_Pentenyl,X4MT,X8MSO,I3M,X4MOI3M,Aliphatic,Indolic,C3,C4,C3_ratio,Alk,GSOH,SC,LC,Total_GSL
CS76366,Angit-1,ITA,38.76,16.24,0,MPI,C,KNO3,0.1,KNO3_0.1,3.10505701,29.33,29.33,4.12E-12,3.62E-12,8.20E-15,NA,0,6.52E-13,7.82E-18,5.28E-14,2.13E-14,0,0,1.65E-16,4.46E-13,3.49E-18,0,0.104577808,1.81E-17,4.14E-15,1.64E-15,9.28E-17,0.039060629,7.96E-14,0.018396933,0.143032762,0.143638437,0.161429695,6.82E-13,0.143638437,0,0.5,0,0.143638437,9.64E-14,0.305068132
CS76366,Angit-1,ITA,38.76,16.24,0,MPI,C,KNO3,1,KNO3_1,2.825089046,24.59,24.59,0,0,0,NA,4.32E-13,1.18E-12,0,2.53E-14,1.96E-14,0,0,5.27E-16,4.05E-13,0,4.79E-16,0.129389951,4.43E-17,1.72E-15,3.26E-15,0,0.076823353,8.31E-14,0.040830156,2.47E-14,0.206213303,0.040830156,4.48E-13,0.206213303,0,0.5,0,0.206213303,9.73E-14,0.24704346
CS76366,Angit-1,ITA,38.76,16.24,0,MPI,C,NH4HCO3,1,NH4HCO3_1,2.416828783,38.08,34.64333333,2,3.436666667,0.044483986,1.718333333,0.062179603,0.076438316,0,2.82E-14,1.83E-14,0,0,5.50E-16,3.81E-13,0,3.89E-16,0.062883334,3.69E-17,1.48E-15,2.74E-15,0,0.034552714,8.45E-14,0.019553713,0.016590499,0.097436048,0.036144211,4.24E-13,0.097436048,0,0.5,0,0.097436048,9.74E-14,0.133580259
CS76367,Lago-1,ITA,39.18,16.26,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,6.629245817,90.1,56.195,11,33.905,0.181143046,2.501944444,0.30246127,0.542040966,7.65E-18,2.29E-14,0,0,0.380424128,0,0,8.12E-18,0,1.204652808,0,2.34E-15,0.017442821,8.88E-17,0.388649912,0.113230171,0.18438278,0.046163473,2.104399839,0.230546253,0,1.973726847,0,0.786648223,0.260274258,1.973726847,0.130672992,2.334946092
CS76367,Lago-1,ITA,39.18,16.26,0,MPI,C,KNO3,0.1,KNO3_0.1,4.422346922,43.2,43.2,3.19E-12,5.29E-11,8.30E-14,NA,5.86E-13,1.09E-12,0,1.13E-14,4.79E-14,0,1.38E-14,0,8.82E-13,0,0,0,1.81E-17,0,3.00E-15,3.24E-17,0.092083184,1.19E-13,0.019553742,0.012686521,0.092083184,0.032240263,8.23E-13,0.092083184,2.90E-13,1.84E-13,NA,0.092083184,1.23E-13,0.124323447
CS76367,Lago-1,ITA,39.18,16.26,0,MPI,C,NH4HCO3,1,NH4HCO3_1,1.555306667,16.78,16.78,8.74E-12,1.10E-10,4.65E-14,NA,0,0,0,2.21E-14,0,0,0,0,0,7.06E-18,0,7.17E-15,0,2.27E-15,0,9.26E-17,0.147730033,9.21E-15,0,1.09E-14,0.147730033,0,0,0.147730033,0,7.50E-14,NA,0.147730033,9.19E-15,0.147730033
CS76367,Lago-1,ITA,39.18,16.26,0,MPI,C,KNO3,1,KNO3_1,4.579327928,38.885,38.885,0,0,1.90E-13,NA,0,4.30E-13,1.24E-17,0.041791594,0,0,0,0,0,6.23E-18,0,0,0,2.13E-15,0,1.08E-16,0.083679149,0.020586557,0.024525743,0.075878086,0.146057301,0.100403829,0.041791594,0.083679149,0.266629087,7.94E-14,NA,0.125470744,0.020586557,0.24646113
CS76369,Dobra-1,SRB,44.84,20.16,0,MPI,C,KNO3,1,KNO3_1,9.595589809,80.04,55.86,11,24.18,0.196920874,2.198181818,0.302098951,0.432867884,2.00E-17,0,2.39E-14,0,1.91E-14,1.64E-15,0.649372086,3.41E-17,2.47E-15,0,1.98E-17,5.06E-16,7.82E-16,1.59E-16,0,0.057610223,0.03663493,0.006608654,0.706982309,0.043243584,0.649372086,1.12E-13,1,1,NA,0.649372086,0.057610223,0.750225892
CS76370,Petro-1,SRB,44.34,21.46,0,MPI,C,NH4HCO3,1,NH4HCO3_1,3.922305171,34.895,34.895,0,5.81E-11,0,NA,5.38E-13,1.64E-12,0,0.12060104,2.83E-14,4.10E-16,4.98E-14,0,0.167956155,0,5.28E-16,0,2.32E-17,0.091719064,2.29E-15,0,7.23E-15,0.031919254,0.049606113,0.007360971,0.412195513,0.056967083,0.380276259,1.58E-13,1,0.48120419,NA,0.380276259,0.031919254,0.469162597
CS76370,Petro-1,SRB,44.34,21.46,0,MPI,C,NH4HCO3,0.1,NH4HCO3_0.1,3.822106187,53.33,46.98,4,6.35,0.085142614,1.5875,0.119069942,0.1351639,0,0,2.87E-14,2.27E-17,4.61E-14,0,1.361776407,0,5.37E-16,0,1.90E-17,0.194741082,2.24E-15,0,7.28E-15,0.364786737,0.194035498,0.03231573,1.921304226,0.226351229,1.556517489,1.52E-13,1,0.874886673,NA,1.556517489,0.364786737,2.147655454
CS76370,Petro-1,SRB,44.34,21.46,0,MPI,C,KNO3,1,KNO3_1,12.69321344,86.54,83.82,2,2.72,0.023860654,1.36,0.031430552,0.032450489,0,0.056749342,3.04E-14,3.10E-16,4.82E-14,0,0.553376672,0,6.61E-16,0,3.14E-17,0,2.44E-15,0,7.52E-15,0.062254876,0.029504011,0.007114843,0.67238089,0.036618854,0.610126014,1.47E-13,1,0.906987506,NA,0.610126014,0.062254876,0.708999744
